Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Users Page,Chrome 101.0.4951.64,,,2022-05-30 17:50:24,2022-05-30 17:53:06,2m - 41.508s,PASSED
,,,,,,,
Test Cases/Olivia_Dynamic/Users Feed/TC001 - Add new user with any role,Chrome 101.0.4951.64,,,2022-05-30 17:50:25,2022-05-30 17:51:01,36.631s,PASSED
"callTestCase(findTestCase(""Olivia_Default/Login""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.64,,,2022-05-30 17:50:25,2022-05-30 17:50:31,6.049s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/div_Menu""))",Chrome 101.0.4951.64,,,2022-05-30 17:50:31,2022-05-30 17:50:35,4.369s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/i_Menu_icon icon-settings""))",Chrome 101.0.4951.64,,,2022-05-30 17:50:35,2022-05-30 17:50:36,0.868s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/div_Users""))",Chrome 101.0.4951.64,,,2022-05-30 17:50:36,2022-05-30 17:50:39,3.136s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/i_Users_icon-plus""))",Chrome 101.0.4951.64,,,2022-05-30 17:50:39,2022-05-30 17:50:41,2.240s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/strong_Full User""))",Chrome 101.0.4951.64,,,2022-05-30 17:50:41,2022-05-30 17:50:42,0.658s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Continue""))",Chrome 101.0.4951.64,,,2022-05-30 17:50:42,2022-05-30 17:50:42,0.257s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Company Admin  Full User - Edit Ever_daeaff""), role, true)",Chrome 101.0.4951.64,,,2022-05-30 17:50:42,2022-05-30 17:50:45,2.705s,PASSED
"if (waitForElementVisible(findTestObject(""Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Job title_job_title""), 3))",Chrome 101.0.4951.64,,,2022-05-30 17:50:45,2022-05-30 17:50:49,3.759s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_First name_fname""), firstname)",Chrome 101.0.4951.64,,,2022-05-30 17:50:49,2022-05-30 17:50:49,0.514s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Last name_lname""), lastname)",Chrome 101.0.4951.64,,,2022-05-30 17:50:49,2022-05-30 17:50:50,0.486s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Email_email""), email)",Chrome 101.0.4951.64,,,2022-05-30 17:50:50,2022-05-30 17:50:50,0.519s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Select a country  United States  Can_7bdac2""), country, true)",Chrome 101.0.4951.64,,,2022-05-30 17:50:50,2022-05-30 17:50:52,1.579s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Save""))",Chrome 101.0.4951.64,,,2022-05-30 17:50:52,2022-05-30 17:50:52,0.267s,PASSED
